molid,scaffid
CID001489204,2
CID044578566,131
CID000005228,161
CID018536646,108
CID053469449,148
CID053469448,148
CID006539506,130
CID006539507,130
CID006539501,130
CID046927597,94
CID006539509,130
CID053467617,148
CID056670156,95
CID044592502,92
CID044529101,105
CID057398391,160
CID010161259,69
CID025190912,10
CID006539591,3
CID025190914,5
CID057391365,160
CID009879605,75
CID002787267,61
CID044532526,150
CID044336137,78
CID000447966,91
CID044532102,73
CID006539498,130
CID044279444,72
CID024804299,92
CID044532683,89
CID066561010,148
CID010286382,9
CID006539504,130
CID044532737,4
CID044527361,106
CID009880709,48
CID045272982,99
CID045272980,48
CID009914412,140
CID044525940,149
CID006539496,130
CID011633551,20
CID009814925,75
CID044397230,16
CID022609863,118
CID006539376,58
CID023648890,43
CID006539427,155
CID024804780,92
CID015521230,78
CID006539428,7
CID044532639,87
CID005329826,59
CID022185475,153
CID011197671,102
CID046215814,85
CID046215816,137
CID011427162,117
CID010186182,69
CID010151417,40
CID010595057,78
CID010183216,69
CID025121268,47
CID000099545,68
CID057403576,160
CID010028480,10
CID044525949,149
CID044525948,39
CID057400063,160
CID006539492,130
CID044525942,80
CID044525941,14
CID002409198,22
CID044525947,51
CID044525946,149
CID044525945,38
CID044525944,149
CID056683489,94
CID017755233,127
CID044526099,111
CID044397011,68
CID021027446,75
CID046927672,94
CID045271243,151
CID045271244,151
CID045271247,151
CID057394915,138
CID044306199,75
CID044532477,90
CID044433573,119
CID015838857,108
CID010278843,69
CID044532478,56
CID044305879,141
CID009935852,69
CID051354901,137
CID010186009,103
CID009901062,75
CID006539609,74
CID006539606,63
CID006539605,63
CID006539602,63
CID006539452,130
CID019879232,161
CID057401865,160
CID009826528,158
CID009958299,69
CID044525967,23
CID044527603,105
CID006539463,130
CID006539461,130
CID006539467,130
CID006539465,130
CID044529262,105
CID044535870,42
CID010086873,48
CID044529385,120
CID053466951,146
CID051357954,137
CID044525932,51
CID044525933,38
CID044525930,149
CID070683337,12
CID044525936,14
CID044525937,39
CID044525934,149
CID044525935,51
CID044525938,149
CID044525939,39
CID070683338,160
CID044591845,92
CID011220119,67
CID046214650,115
CID044532690,56
CID011682680,154
CID006539516,0
CID006539513,130
CID006539512,130
CID044528968,105
CID044578252,104
CID006539519,0
CID025263085,10
CID044525486,110
CID044525485,32
CID044397192,16
CID010639924,42
CID006263849,33
CID044305594,66
CID056680318,94
CID006539394,58
CID006539398,136
CID044526078,97
CID044526072,97
CID044526073,97
CID044526070,114
CID044526071,97
CID044526076,97
CID044526077,97
CID044526074,97
CID044526075,97
CID015407403,144
CID044328896,144
CID044532720,100
CID044532480,147
CID044529220,105
CID051355190,137
CID045480848,25
CID015872399,93
CID044529229,10
CID053245731,8
CID044532438,35
CID000253268,1
CID044526685,26
CID044532432,150
CID005330286,112
CID023648920,139
CID044532433,150
CID044527657,48
CID023648887,43
CID006539550,88
CID024949702,11
CID006539416,155
CID009945516,28
CID011514099,85
CID060150509,160
CID053317178,85
CID009925594,79
CID000129723,161
CID049798353,57
CID044526922,31
CID009925372,28
CID011595752,28
CID009929101,144
CID044525974,109
CID006539486,130
CID006539481,130
CID044525973,23
CID044525970,23
CID044525971,52
CID017917696,144
CID042618144,122
CID051357138,115
CID017755746,69
CID000069689,1
CID044305551,71
CID000667570,153
CID046215644,60
CID009836405,28
CID023133388,144
CID000156414,133
CID010173796,40
CID044328970,144
CID044532446,35
CID044532445,35
CID011231979,91
CID057398392,160
CID010239038,6
CID010358578,106
CID057401867,160
CID057403579,107
CID044525972,23
CID044529831,159
CID010621826,78
CID006918454,49
CID006539455,130
CID044529279,105
CID044529278,105
CID006539458,130
CID053469634,146
CID011057468,42
CID044532297,150
CID011495551,41
CID066561013,148
CID044532531,54
CID006539523,130
CID000003134,1
CID006539524,130
CID006539525,130
CID006539528,85
CID006539529,85
CID011529890,28
CID005329841,157
CID044532997,31
CID000838889,75
CID010757558,42
CID051356853,85
CID051356852,85
CID044525929,149
CID051356856,126
CID051356855,85
CID051356854,85
CID044525925,64
CID044525924,149
CID044525927,80
CID044525926,14
CID044525921,39
CID044525920,51
CID044525923,51
CID044525922,149
CID044526069,114
CID044526068,114
CID025263108,10
CID025263102,10
CID025263100,81
CID025263105,5
CID006538884,85
CID044532712,142
CID010158539,18
CID009888013,108
CID044305812,1
CID009945696,75
CID009926791,86
CID044527001,145
CID006539566,63
CID044525931,149
CID053469824,113
CID011558948,28
CID006539569,63
CID010287409,42
CID000000007,1
CID011716589,28
CID025263084,10
CID044525928,24
CID051354036,137
CID009861063,28
CID044532978,150
CID011682470,28
CID070691776,160
CID011626560,135
CID071451677,152
CID011712734,75
CID053469453,148
CID044525961,98
CID044525960,98
CID044525963,132
CID044525962,55
CID044525965,52
CID044525964,62
CID044528946,105
CID044525966,23
CID044525969,15
CID044525968,23
CID011224168,65
CID044592364,37
CID051354327,163
CID005329477,53
CID051354328,115
CID006539565,63
CID044529112,105
CID044529114,105
CID000156422,45
CID049862783,84
CID044591552,43
CID006539588,74
CID045269578,48
CID053466728,148
CID009903786,44
CID006539587,74
CID005329481,76
CID006539582,83
CID006539480,130
CID044479934,29
CID057345685,160
CID044397393,16
CID025263079,10
CID066561090,148
CID044305910,71
CID044336144,78
CID009836051,75
CID009836050,75
CID044269265,78
CID011715767,116
CID051357696,137
CID024803957,92
CID000309461,68
CID011524582,77
CID025033539,123
CID044536075,153
CID044532450,35
CID011793277,78
CID024804781,92
CID044578630,138
CID006539426,155
CID044397687,68
CID000221158,1
CID010135552,143
CID006539572,63
CID021078798,36
CID045481463,124
CID006450551,101
CID044578709,138
CID010452739,21
CID057396626,160
CID057396627,160
CID057396625,46
CID053322416,85
CID024804298,92
CID006539470,130
CID056673516,94
CID022049997,13
CID045270417,111
CID053467178,148
CID044525943,149
CID009923028,75
CID044525958,149
CID044525959,70
CID044525950,39
CID044525951,149
CID044525952,80
CID044525953,19
CID044525954,149
CID044525955,149
CID044525956,51
CID044525957,38
CID025093464,143
CID024803300,162
CID024803301,121
CID044305647,1
CID024802788,37
CID011959683,125
CID010310395,40
CID011133737,27
CID001491157,82
CID017754438,30
CID024803786,128
CID024803787,162
CID046886665,16
CID044571415,129
CID005311382,34
CID000227502,71
CID006539615,96
CID006539610,74
CID053467392,148
CID006539613,3
CID000599038,16
CID022112846,118
CID018536633,108
CID010267580,48
CID006539571,63
CID011373846,50
CID011594774,28
CID051356289,85
CID006539579,63
CID006539578,63
CID006539472,130
CID006539473,130
CID070685440,160
CID006539475,130
CID070685442,160
CID006539477,130
CID009865518,78
CID049862644,156
CID024802961,17
CID056673950,134
