molid,bglf4_c_s_2,bglf4_c_l_2,bglf4_c_w_2,bglf4_p_s_2,bglf4_p_l_2,bglf4_p_w_2,pknb_c_s_2,pknb_c_l_2,pknb_c_w_2,pknb_p_s_2,pknb_p_l_2,pknb_p_w_2
CID044328970,nan,nan,-0.03744872258020599,nan,nan,-0.08590639736169302,nan,nan,-0.007065853658535999,0.817204301075,111,-0.10261457100214802
CID001489204,nan,nan,-0.04923252524447301,nan,nan,-0.094240133553197,nan,nan,-0.006246152313292001,0.929292929293,396,-0.04381242959191398
CID044578566,nan,nan,-0.04639763670072,nan,nan,-0.08831397860595601,nan,nan,-0.006867947445230001,0.8901098901100001,339,-0.06224804977484896
CID044532445,nan,nan,-0.047910937311354,nan,nan,-0.08409987382912602,nan,nan,-0.007698289022377999,0.84,172,-0.09453251698274802
CID044528946,nan,nan,-0.048117975774234004,nan,nan,-0.10005853628230701,nan,nan,-0.006566048534785998,0.701030927835,11,-0.163070423853318
CID044305647,nan,nan,-0.028055198092472994,nan,nan,-0.06346827748105299,nan,nan,-0.006120745521601,0.9080459770110001,378,-0.05605255975859095
CID057398391,nan,nan,-0.06610764596991302,nan,nan,-0.06537129956397003,nan,nan,-0.017130180531338,0.846153846154,190,-0.097822741892996
CID057398392,nan,nan,-0.06465732369961201,nan,nan,-0.06770003357702603,nan,nan,-0.016768459610568,0.846153846154,188,-0.09901536994839098
CID000005228,nan,nan,-0.05011702515785902,nan,nan,-0.06886690963231304,nan,nan,-0.008815239078099,0.883720930233,325,-0.06991106643425199
CID044532446,nan,nan,-0.048426872719599987,nan,nan,-0.08029393102374398,nan,nan,-0.008503886555453,0.8383838383840001,161,-0.10099901764893694
CID010239038,nan,nan,-0.041265318459922,informer,informer,informer,nan,nan,-0.00690175461512,informer,informer,informer
CID018536646,nan,nan,-0.04453481889236201,nan,nan,-0.093388349905208,nan,nan,-0.007314952978345,0.8190476190479999,114,-0.10160700123699301
CID053469449,nan,nan,-0.050823609247689014,nan,nan,-0.084909466707536,nan,nan,-0.020771566896699997,0.846153846154,186,-0.08619068037780298
CID053469448,nan,nan,-0.04582566676721199,nan,nan,-0.08579784672404603,nan,nan,-0.020002471114670996,0.8058252427179999,104,-0.10295287198918403
CID006539506,nan,nan,-0.05402193927646899,nan,nan,-0.06412704365417897,nan,nan,-0.0070244196379559976,0.862068965517,241,-0.07842007512730802
CID006539507,nan,nan,-0.050920128353584004,nan,nan,-0.081356163942646,nan,nan,-0.0063574824774330005,0.865168539326,254,-0.08022442047422199
CID006539501,nan,nan,-0.05939817288023902,nan,nan,-0.08938565103552698,nan,nan,-0.007410201846341001,0.8602150537630001,230,-0.08236533243448996
CID046927597,nan,nan,-0.04866562894075101,informer,informer,informer,nan,nan,-0.008350974582891,informer,informer,informer
CID006539509,nan,nan,-0.04912794438723401,nan,nan,-0.05521131841738301,nan,nan,-0.005820271682354002,0.8953488372089999,347,-0.06367220067222704
CID022185475,nan,nan,-0.06005907603064,nan,nan,-0.09352372539878397,nan,nan,-0.008937687088089001,0.878787878788,309,-0.06621709532288099
CID057403576,nan,nan,-0.065515435504189,nan,nan,-0.063546856114598,nan,nan,-0.017367791564526003,0.846153846154,189,-0.099720115226136
CID021027446,nan,nan,-0.05031568854073799,nan,nan,-0.06774146786334,nan,nan,-0.008369987275115,0.844444444444,182,-0.08559043715141998
CID053467617,nan,nan,-0.05665006053652102,nan,nan,-0.098948158048318,nan,nan,-0.014652698198703002,0.843137254902,179,-0.08974837094667298
CID056670156,nan,nan,-0.045885012995922014,informer,informer,informer,nan,nan,-0.007214317006909,informer,informer,informer
CID009935852,nan,nan,-0.039210688201261994,nan,nan,-0.087107145274211,nan,nan,-0.005628260869562998,0.855769230769,217,-0.08226014922047699
CID006539455,nan,nan,-0.05892908984160301,nan,nan,-0.05514156476086801,nan,nan,-0.005996422982334001,0.915662650602,388,-0.052366027501255984
CID006539452,nan,nan,-0.048926179086604,nan,nan,-0.05905372251335002,nan,nan,-0.006032776534519997,0.90243902439,363,-0.06072446903128299
CID044529278,nan,nan,-0.051742172259842026,nan,nan,-0.10552824925694101,nan,nan,-0.007425562766352001,0.732673267327,25,-0.151719874959103
CID006539458,nan,nan,-0.056082707616117,nan,nan,-0.06054176190303198,nan,nan,-0.0072267639077460005,0.8823529411759999,319,-0.06845805432624104
CID044592502,nan,nan,-0.08322797977704499,informer,informer,informer,nan,nan,-0.00710064146594,informer,informer,informer
CID044529101,nan,nan,-0.052924249579233015,nan,nan,-0.11226739161160997,nan,nan,-0.006829424391454002,0.745098039216,47,-0.146739560506924
CID053469634,nan,nan,-0.055355309031656995,nan,nan,-0.09248714915666198,nan,nan,-0.014213312475888997,0.859813084112,229,-0.07933480392394501
CID011231979,nan,nan,-0.057445494283141996,nan,nan,-0.12083685517109598,nan,nan,-0.006554429855112998,0.837209302326,160,-0.095446981461209
CID011057468,nan,nan,-0.052684041609592,nan,nan,-0.07204000833510599,nan,nan,-0.008706543851715,0.8850574712639999,327,-0.06534209751518204
CID044532297,nan,nan,-0.046048635661255,nan,nan,-0.089353487084553,nan,nan,-0.005817457789104001,0.8023255813950001,100,-0.11137327878428696
CID044532433,nan,nan,-0.04650434950935199,nan,nan,-0.08325936220646898,nan,nan,-0.005440449970671001,0.833333333333,146,-0.096886986083293
CID010161259,nan,nan,-0.040307622897514,nan,nan,-0.08815424135543101,nan,nan,-0.006049486803508999,0.883495145631,324,-0.07220605430035303
CID025190912,nan,nan,-0.08503300689535201,nan,nan,-0.09934249483888097,nan,nan,-0.006476124990979999,0.915094339623,387,-0.054370056851671
CID006539591,nan,nan,-0.047952437272961,nan,nan,-0.10520551411372901,nan,nan,-0.007364137754936001,0.849462365591,204,-0.083025697226004
CID025190914,nan,nan,-0.071100159352421,nan,nan,-0.08705544223410001,nan,nan,-0.006402711650054002,0.905660377358,371,-0.059069259756943
CID057391365,nan,nan,-0.06361856213967501,nan,nan,-0.070284756677684,nan,nan,-0.016505319504844997,0.782608695652,84,-0.124307209779044
CID009879605,nan,nan,-0.04637026416563199,nan,nan,-0.058166472587535,nan,nan,-0.007506216577534,0.8953488372089999,346,-0.061945144896928026
CID044532531,nan,nan,-0.04883046807821702,nan,nan,-0.10692350575589302,nan,nan,-0.007923068280143003,0.7659574468089999,73,-0.13354828966530405
CID002787267,nan,nan,-0.045051419861285996,nan,nan,-0.069335628055859,nan,nan,-0.007143715544612998,0.820512820513,117,-0.094223971516233
CID044578630,nan,nan,-0.05389130461644301,nan,nan,-0.11745004433460399,nan,nan,-0.008633386569725001,0.757894736842,65,-0.13382175519529196
CID044336137,nan,nan,-0.044211183394044,nan,nan,-0.073602098364214,nan,nan,-0.009399999999987998,0.84693877551,192,-0.09658035271923102
CID000447966,nan,nan,-0.04929258614810599,nan,nan,-0.10152299203387403,nan,nan,-0.006462244320486997,0.8780487804880001,304,-0.07082603865930598
CID006539523,nan,nan,-0.046993667451063995,nan,nan,-0.06601585694996098,nan,nan,-0.006181969919792,0.855263157895,213,-0.08281370620083002
CID006539524,nan,nan,-0.05379901478099098,nan,nan,-0.07319726622360101,nan,nan,-0.007533176330698997,0.8352941176469999,151,-0.09257959773400004
CID006539525,nan,nan,-0.056729232769443014,nan,nan,-0.06741809328371198,nan,nan,-0.007438422566321002,0.869047619048,265,-0.07558961498016101
CID044532102,nan,nan,-0.050217296109153015,nan,nan,-0.10472667735900301,nan,nan,-0.005962527855307002,0.825581395349,127,-0.103919435924001
CID006539528,nan,nan,-0.050970236865632,nan,nan,-0.08652206301842497,nan,nan,-0.006958427165088999,0.871794871795,272,-0.07152771887963899
CID006539529,nan,nan,-0.04984966786532201,nan,nan,-0.07673999638086301,nan,nan,-0.0073255596158539995,0.886075949367,331,-0.06513711641739803
CID006539498,nan,nan,-0.06001496013839902,nan,nan,-0.06798698060081601,nan,nan,-0.007232391304359003,0.872093023256,273,-0.07228216153529199
CID044279444,nan,nan,-0.04358088523515998,nan,nan,-0.08530035479534698,nan,nan,-0.006371464233842997,0.811111111111,107,-0.10552885784985801
CID011529890,nan,nan,-0.050435819012739,nan,nan,-0.081701346564447,nan,nan,-0.007833952254640997,0.873563218391,280,-0.07247373416937097
CID005329841,nan,nan,-0.041555753461596005,informer,informer,informer,nan,nan,-0.006647816609499999,informer,informer,informer
CID044532683,nan,nan,-0.051543045654845,nan,nan,-0.115646154177873,nan,nan,-0.008159865693618998,0.767676767677,76,-0.145888031163612
CID006539578,nan,nan,-0.048790277249147015,nan,nan,-0.10182661791324599,nan,nan,-0.007177201857205001,0.855555555556,216,-0.07954113248957598
CID066561010,nan,nan,-0.04925941689750799,nan,nan,-0.08931485987645302,nan,nan,-0.015230179389314,0.854368932039,212,-0.085484434067651
CID010286382,nan,nan,-0.039034261433641006,nan,nan,-0.09970538002864598,nan,nan,-0.005815586773141998,0.6867469879520001,9,-0.166525308549914
CID044532997,nan,nan,-0.058567231781389006,nan,nan,-0.11468654496293004,nan,nan,-0.009100586419762,0.8823529411759999,320,-0.07043665314037703
CID006539504,nan,nan,-0.043570794171153004,nan,nan,-0.06017248924288799,nan,nan,-0.0061793088513339995,0.872093023256,274,-0.076879330215216
CID044532737,nan,nan,-0.03708261280730701,nan,nan,-0.074943177410778,nan,nan,-0.005365006922494999,0.80412371134,101,-0.102180387714292
CID044527361,nan,nan,-0.055537490721894,nan,nan,-0.08688002241514298,nan,nan,-0.006424979321753,0.860465116279,233,-0.08078397160411799
CID009880709,nan,nan,-0.062390017592185,nan,nan,-0.08172590682799696,nan,nan,-0.007772448565929999,0.862068965517,240,-0.07721123944981703
CID000838889,nan,nan,-0.03576911527465401,nan,nan,-0.08796175239363598,nan,nan,-0.006399376790674,0.9069767441859999,374,-0.05917174006329101
CID044529112,nan,nan,-0.048320605007353995,nan,nan,-0.10904561615157998,nan,nan,-0.006942644709383998,0.722222222222,18,-0.15651745273583395
CID045272982,nan,nan,-0.045222552233195004,nan,nan,-0.073827625017798,nan,nan,-0.006055799941946001,0.83908045977,166,-0.091154912783607
CID045272980,nan,nan,-0.055088090705908,nan,nan,-0.09463126861153802,nan,nan,-0.007587006073647998,0.844444444444,181,-0.08576995214442898
CID009914412,nan,nan,-0.051098653215230994,nan,nan,-0.093090038563959,nan,nan,-0.007833980980473996,0.839622641509,169,-0.10140223369434
CID044527001,nan,nan,-0.045102877350682996,nan,nan,-0.100299885730317,nan,nan,-0.005211628781328997,0.771428571429,79,-0.128318786792048
CID002409198,nan,nan,-0.044922546682117995,nan,nan,-0.07622444553988798,nan,nan,-0.006421347031958997,0.8505747126440001,207,-0.08397018194766595
CID010757558,nan,nan,-0.063617061010545,nan,nan,-0.07334329589596099,nan,nan,-0.008466828515338,0.9080459770110001,379,-0.05170446643612196
CID044525947,nan,nan,-0.04957470910464799,nan,nan,-0.13197828036915704,nan,nan,-0.007241829770843998,0.767676767677,77,-0.136853749775719
CID011633551,nan,nan,-0.057246535693858,nan,nan,-0.09650713899610301,nan,nan,-0.009764294567228002,0.8484848484849999,198,-0.09191497861377804
CID051356853,nan,nan,-0.04490467657340901,nan,nan,-0.08454352218581702,nan,nan,-0.006642725901541001,0.8953488372089999,348,-0.06136680365033804
CID051356852,nan,nan,-0.045007342657327004,nan,nan,-0.08018591081691101,nan,nan,-0.006894474153289001,0.9080459770110001,376,-0.05776693958151696
CID044525929,nan,nan,-0.04402503598625401,nan,nan,-0.10691041373315699,nan,nan,-0.007901385431427,0.720430107527,16,-0.16221171027564102
CID051356856,nan,nan,-0.047001248193602005,nan,nan,-0.074726277808427,nan,nan,-0.009008846166273997,0.873563218391,281,-0.07653884503508197
CID051356855,nan,nan,-0.04459369064577301,nan,nan,-0.07423638858996298,nan,nan,-0.006642725901541001,0.9080459770110001,377,-0.05562084240200395
CID051356854,nan,nan,-0.04428956753978199,nan,nan,-0.08896899673714001,nan,nan,-0.006388010540191998,0.898876404494,355,-0.061925074254008006
CID044525925,nan,nan,-0.05072019658708801,nan,nan,-0.137262192347307,nan,nan,-0.008190234847726,0.734693877551,29,-0.157206439384774
CID044525924,nan,nan,-0.046050832947236,nan,nan,-0.10885727851748299,nan,nan,-0.007636380159745,0.741935483871,39,-0.155572484552778
CID009814925,nan,nan,-0.047304074827789006,nan,nan,-0.06459990452841799,nan,nan,-0.007458856579167999,0.886363636364,333,-0.06917143227614801
CID044525926,nan,nan,-0.036549563670526,nan,nan,-0.116266459938424,nan,nan,-0.0067030848014970005,0.744680851064,44,-0.15515579066813204
CID044525921,nan,nan,-0.045854945116991994,nan,nan,-0.10717934367855897,nan,nan,-0.008471258496584998,0.736842105263,31,-0.15379854699761902
CID044525920,nan,nan,-0.045378490300883007,nan,nan,-0.13196686274506597,nan,nan,-0.007414659911187,0.75,55,-0.150688673973722
CID044525923,nan,nan,-0.050340740481758,nan,nan,-0.12470346195159898,nan,nan,-0.007850360640899001,0.736842105263,32,-0.15696542931380902
CID044525922,nan,nan,-0.049607959467976005,nan,nan,-0.106366147211337,nan,nan,-0.008771974659340001,0.720430107527,14,-0.161911602582534
CID044397230,nan,nan,-0.04232379806456201,nan,nan,-0.07876441463664598,nan,nan,-0.005602602010649,0.8414634146340001,176,-0.09014641818384597
CID022609863,nan,nan,-0.04976033420097501,nan,nan,-0.08871828063878899,nan,nan,-0.007316141084111002,0.822916666667,122,-0.10406709786912
CID000156422,nan,nan,-0.046391526593884014,nan,nan,-0.08328186513726797,nan,nan,-0.008170942982471001,0.8518518518520001,209,-0.09300100964810795
CID044526069,nan,nan,-0.05849936801061699,nan,nan,-0.08644681183469001,nan,nan,-0.008446056307751002,0.873684210526,285,-0.074469975304557
CID006539376,nan,nan,-0.035958142792233,nan,nan,-0.130019270646147,nan,nan,-0.005301883674810997,0.405797101449,0,-0.29443127859584595
CID025263102,nan,nan,-0.07455679262257901,nan,nan,-0.10406126335779001,nan,nan,-0.0060861360861300005,0.89,338,-0.06375716193013599
CID025263100,nan,nan,-0.08429858759354501,nan,nan,-0.09647623748738696,nan,nan,-0.007495552066983,0.9029126213590001,365,-0.059614265991157975
CID023648890,nan,nan,-0.06866142531396802,informer,informer,informer,nan,nan,-0.006847908115982999,informer,informer,informer
CID025263105,nan,nan,-0.085430581826144,nan,nan,-0.09095923530063803,nan,nan,-0.007434033613434999,0.903846153846,366,-0.058347567545025
CID006539427,nan,nan,-0.042808364481614986,nan,nan,-0.107661606106674,nan,nan,-0.006158081264868996,0.5375,2,-0.23419559069772702
CID024804780,nan,nan,-0.08106547491767702,nan,nan,-0.347876048365885,nan,nan,-0.007122344944762,0.844660194175,183,-0.08868428662398499
CID006538884,nan,nan,-0.05109285714278698,nan,nan,-0.07702221466737699,nan,nan,-0.006489010989006996,0.8987341772149999,353,-0.05630673328189403
CID044591552,nan,nan,-0.065522526538726,nan,nan,-0.195813227942354,nan,nan,-0.006831085060255,0.8414634146340001,175,-0.09596434846432296
CID015521230,nan,nan,-0.044512035033002,nan,nan,-0.09541337019711697,nan,nan,-0.008572971090217,0.824742268041,125,-0.10981575245987499
CID006539428,nan,nan,-0.044442923742934994,nan,nan,-0.09822875858254901,nan,nan,-0.006608985199632997,0.623529411765,6,-0.206108835395207
CID005329826,nan,nan,-0.04106758433754502,informer,informer,informer,nan,nan,-0.005437996059683002,informer,informer,informer
CID057403579,nan,nan,-0.053063960724352,nan,nan,-0.06876239349519701,nan,nan,-0.012199191151995002,0.7894736842110001,90,-0.12049648974566399
CID011197671,nan,nan,-0.05221372257483398,nan,nan,-0.11170405148899198,nan,nan,-0.006598057015444996,0.8488372093019999,199,-0.08752885815169904
CID044532712,nan,nan,-0.048567756181888,nan,nan,-0.105015250429088,nan,nan,-0.008264847512034997,0.744680851064,46,-0.15365118802647704
CID046215814,nan,nan,-0.05052561490464299,nan,nan,-0.10227777929316197,nan,nan,-0.007339848044753997,0.8625,244,-0.07931553432837199
CID046215816,nan,nan,-0.04761952479995202,nan,nan,-0.08979837723209501,nan,nan,-0.008200075287031004,0.828571428571,135,-0.09828823064270302
CID011427162,nan,nan,-0.051201895132644996,nan,nan,-0.079113789808681,nan,nan,-0.007528387533887999,0.9148936170209999,386,-0.047280009529552025
CID010186182,nan,nan,-0.039195478972121015,nan,nan,-0.084429009781902,nan,nan,-0.005806788314280999,0.8217821782179999,119,-0.10087034957750604
CID010151417,nan,nan,-0.038909594653465,informer,informer,informer,nan,nan,-0.006512594128823001,informer,informer,informer
CID010595057,nan,nan,-0.04692000499823003,nan,nan,-0.07730723777516597,nan,nan,-0.009180572569316004,0.826086956522,128,-0.10704021026849198
CID010183216,nan,nan,-0.046631823471297004,nan,nan,-0.095172206878042,nan,nan,-0.0067716846260590016,0.8823529411759999,321,-0.07090214057601002
CID053466728,nan,nan,-0.06076271880772998,nan,nan,-0.10655896363712203,nan,nan,-0.015628843402193997,0.8367346938779999,155,-0.09095312982030504
CID010158539,nan,nan,-0.0608070470597,nan,nan,-0.09411933373754698,nan,nan,-0.010606107078703002,0.852631578947,210,-0.09323094398363098
CID025121268,nan,nan,-0.062381358663198994,nan,nan,-0.09259164304495501,nan,nan,-0.010990866873065998,0.868686868687,263,-0.08557552868242002
CID000099545,nan,nan,-0.03941606409382399,nan,nan,-0.07149816174527401,nan,nan,-0.005515174379618,0.9,356,-0.05665476498981798
CID009888013,nan,nan,-0.041811105465274,nan,nan,-0.10308591976493002,nan,nan,-0.006181914893619002,0.7444444444439999,43,-0.14600050102522702
CID044305812,nan,nan,-0.028547456020735006,nan,nan,-0.057741540228335,nan,nan,-0.006285841917185999,0.901234567901,361,-0.060549908441181015
CID006539566,nan,nan,-0.05231791804219,nan,nan,-0.08746782064833601,nan,nan,-0.007493972693966998,0.887640449438,334,-0.065453905621979
CID009945696,nan,nan,-0.04448117556815599,nan,nan,-0.06297041397859499,nan,nan,-0.0077867074358099996,0.840909090909,174,-0.091698758578161
CID010028480,nan,nan,-0.08905250125696602,nan,nan,-0.11543958063581,nan,nan,-0.007215384615402001,0.885714285714,329,-0.06958362823444697
CID009926791,nan,nan,-0.04834105449932501,nan,nan,-0.13071841409510002,nan,nan,-0.007204349556779004,0.8823529411759999,318,-0.07122409345719002
CID044525949,nan,nan,-0.05105840084151999,nan,nan,-0.108933631182468,nan,nan,-0.007778442941824996,0.7575757575759999,63,-0.13997200415853203
CID044525948,nan,nan,-0.047735753859438006,nan,nan,-0.11286508617952803,nan,nan,-0.007633425925933,0.762376237624,69,-0.13844113884382803
CID057400063,nan,nan,-0.045148868344359,nan,nan,-0.073710037184945,nan,nan,-0.010630240630230001,0.766666666667,74,-0.13223163041640298
CID006539492,nan,nan,-0.058289691529707,nan,nan,-0.07077100183914599,nan,nan,-0.00800664689894,0.863636363636,250,-0.07769378544833298
CID044525942,nan,nan,-0.05473995041546301,nan,nan,-0.149565821562348,nan,nan,-0.007307367032313,0.726315789474,21,-0.159789012431757
CID044525941,nan,nan,-0.03672102795640301,nan,nan,-0.12719945972462302,nan,nan,-0.0058210876913829986,0.760416666667,68,-0.14835521038130398
CID044525940,nan,nan,-0.045945741307678,nan,nan,-0.11980560160089,nan,nan,-0.006717441394518998,0.757894736842,66,-0.14863253618027697
CID006539496,nan,nan,-0.06709923529751699,nan,nan,-0.06688498481969199,nan,nan,-0.008088391680773997,0.875,292,-0.070548227261716
CID044525946,nan,nan,-0.05065725344966201,nan,nan,-0.11984988186279098,nan,nan,-0.007947074207265002,0.739583333333,38,-0.15325252063844103
CID044525945,nan,nan,-0.047000952604587004,nan,nan,-0.11648473016371902,nan,nan,-0.007317331101638999,0.739583333333,37,-0.15556790230793102
CID044525944,nan,nan,-0.051812676630154014,nan,nan,-0.121988168146449,nan,nan,-0.008143253757740002,0.725274725275,20,-0.162434999013858
